ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,net_profit,c_fr_sale_sg,c_inf_fr_operate_a,n_cashflow_act
002837.SZ,20260421,20260421,20260331,1,1,,1158888557.08,1184418626.04,-386363968.71
002837.SZ,20260421,20260421,20251231,1,1,542679980.86,5089358063.61,5234861200.37,157273222.36
002837.SZ,20251014,20251014,20250930,1,1,,3493079983.51,3567988117.52,-319034472.29
002837.SZ,20250819,20250819,20250630,1,1,225891956.62,2287775559.78,2338080753.43,-233913848.18
002837.SZ,20250422,20250422,20250331,1,1,,1121116712.09,1147777802.64,-170771733.08
002837.SZ,20250422,20250422,20250331,1,1,,1121116712.09,1147777802.64,-170771733.08
002837.SZ,20250422,20250422,20241231,1,1,454120286.8,3911998140.92,4023004908.48,199835014.95
002837.SZ,20250422,20250422,20241231,1,1,454120286.8,3911998140.92,4023004908.48,199835014.95
002837.SZ,20241025,20241025,20240930,1,1,,2783234271.25,2863278126.53,156233696.34
002837.SZ,20241025,20241025,20240930,1,1,,2783234271.25,2863278126.53,156233696.34
002837.SZ,20240813,20240813,20240630,1,1,183274959.26,1719280339.85,1766843616.99,-45657141.22
002837.SZ,20240813,20240813,20240630,1,1,183274959.26,1719280339.85,1766843616.99,-45657141.22
002837.SZ,20240423,20240423,20240331,1,1,,968011067.74,997495854.22,56269339.69
002837.SZ,20240423,20240423,20240331,1,1,,968011067.74,997495854.22,56269339.69
002837.SZ,20240416,20240416,20231231,1,1,348748744.38,2917530847.85,3030616140.16,453072040.34
002837.SZ,20240416,20240416,20231231,1,1,348748744.38,2917530847.85,3030616140.16,453072040.34
