ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
301018.SZ,20251231,设备,P,3269059951.27,701700054.6,2567359896.67,CNY
301018.SZ,20251231,解决方案及增值服务,P,924577139.97,292487774.83,632089365.14,CNY
301018.SZ,20251231,其他业务,P,15561753.01,15535507.4,26245.61,CNY
301018.SZ,20251231,特种装备行业,I,597752374.56,154404669.05,443347705.51,CNY
301018.SZ,20251231,数据服务(行业),I,2343264576.37,553009207.38,1790255368.99,CNY
301018.SZ,20251231,工业(行业),I,1137472768.56,272040849.21,865431919.35,CNY
301018.SZ,20251231,其他业务(行业),I,15561753.01,15535507.4,26245.61,CNY
301018.SZ,20251231,公建及商用行业,I,115147371.75,14733103.79,100414267.96,CNY
301018.SZ,20251231,国外,D,143577298.9,45461134.82,98116164.08,CNY
301018.SZ,20251231,中国大陆,D,4065621545.35,964262202.01,3101359343.34,CNY
301018.SZ,20250630,设备,P,1395146708.0,321487632.74,1073659075.26,CNY
301018.SZ,20250630,解决方案及增值服务,P,280652078.76,84033052.12,196619026.64,CNY
301018.SZ,20250630,其他业务,P,6379928.92,5166852.6,1213076.32,CNY
301018.SZ,20241231,设备,P,2551727773.7,585219997.36,1966507776.34,CNY
301018.SZ,20241231,解决方案及增值服务,P,449718817.95,119812409.01,329906408.94,CNY
301018.SZ,20241231,其他业务,P,14737715.26,12865061.92,1872653.34,CNY
301018.SZ,20241231,特种装备行业,I,703731118.9,181186167.12,522544951.78,CNY
301018.SZ,20241231,数据服务(行业),I,1547533574.24,299305882.03,1248227692.21,CNY
301018.SZ,20241231,工业(行业),I,611190168.03,191278359.27,419911808.76,CNY
301018.SZ,20241231,商用空调,I,138991730.48,33261997.95,105729732.53,CNY
301018.SZ,20241231,其他业务(行业),I,14737715.26,12865061.92,1872653.34,CNY
301018.SZ,20241231,公建及商用行业,I,138991730.48,33261997.95,105729732.53,CNY
301018.SZ,20241231,国外,D,19156852.17,7680466.15,11476386.02,CNY
301018.SZ,20241231,中国大陆,D,2997027454.74,710217002.14,2286810452.6,CNY
301018.SZ,20241231,直销,455006000,3016184306.91,717897468.29,2298286838.62,CNY
301018.SZ,20240630,设备,P,1185659927.02,307345646.24,878314280.78,CNY
301018.SZ,20240630,其他业务,P,118850131.76,37692685.55,81157446.21,CNY
