ts_code,ann_date,end_date,total_assets,total_liab,total_hldr_eqy_exc_min_int,inventories,accounts_receiv
002837.SZ,20260421,20260331,7761763222.65,4277389028.88,3461780265.25,1181981088.85,3060887771.01
002837.SZ,20260421,20251231,7747255663.66,4284524186.17,3445641008.79,983397026.13,3053959547.65
002837.SZ,20251014,20250930,7210891358.49,3886929533.05,3313055700.5,1232103430.49,2578539613.76
002837.SZ,20250819,20250630,6875618140.1,3858097838.96,3010943510.24,1239104847.35,2628324101.99
002837.SZ,20250422,20250331,6215027754.98,3239211636.75,2972019386.23,1135020807.94,2251518996.71
002837.SZ,20250422,20250331,6215027754.98,3239211636.75,2972019386.23,1135020807.94,2251518996.71
002837.SZ,20250422,20241231,6014413898.7,3101096520.71,2915892117.15,884357243.24,2428405953.58
002837.SZ,20241025,20240930,5587126916.69,2802599451.46,2789458629.46,896096768.27,1822594659.52
002837.SZ,20240813,20240630,4893018023.11,2310396251.77,2586843565.84,692503008.78,1687460759.69
002837.SZ,20240423,20240331,4839965583.79,2279377122.33,2565023783.11,635049102.4,1465750965.84
002837.SZ,20240423,20240331,4839965583.79,2279377122.33,2565023783.11,635049102.4,1465750965.84
002837.SZ,20240416,20231231,5091055172.06,2609121157.31,2486071338.29,672726419.24,1730923290.8
002837.SZ,20240416,20231231,5091055172.06,2609121157.31,2486071338.29,672726419.24,1730923290.8
300731.SZ,20260429,20260331,1340717097.18,660862382.12,618332562.0,150406837.99,331614907.2
300731.SZ,20260429,20251231,1324139949.34,645772368.35,618490383.11,135574593.21,427098519.57
300731.SZ,20251029,20250930,1227411189.06,556223871.64,619093239.01,139308492.36,290709875.0
300731.SZ,20250825,20250630,1253806210.9,588583140.5,609673917.48,148554974.11,294826483.13
300731.SZ,20250429,20250331,1238739231.15,565015318.85,612130048.69,141707210.94,292276165.42
300731.SZ,20250429,20241231,1245836206.72,582515237.29,602041472.69,146559489.89,339688942.65
300731.SZ,20241030,20240930,1146836030.81,484524564.91,604143478.51,164815439.01,183111210.87
300731.SZ,20240817,20240630,1091359173.26,434452148.23,597405236.14,121529878.69,196317422.61
300731.SZ,20240429,20240331,1016344026.02,360372732.98,597226386.7,129128490.93,123125927.74
300731.SZ,20240426,20231231,1011330809.52,365498600.85,614087905.4,109580711.85,153443901.17
300731.SZ,20240426,20231231,1011330809.52,365498600.85,614087905.4,109580711.85,153443901.17
