"metric_id","company_id","stock_code","metric_name","period","value","unit","currency","source_evidence_id","source_path","calculation_method","claim_type","confidence","review_status","limitations"
"metric_cn_002837_invic_revenue_20260331_4f7f22","cn_002837_invic","002837","revenue","20260331","1175329313.61","CNY","CNY","ev_structured_financial_data_002837_20260701_89213a","data/raw/market_data/local_tushare_fixture_income_002837_2026-07-01_89213a96.csv","raw_adapter_snapshot_no_recalculation","metric_snapshot","medium","reviewed_r3_candidate","Metric-only company-level structured fixture; not segment exposure proof."
"metric_cn_002837_invic_operate_profit_20260331_04da98","cn_002837_invic","002837","operate_profit","20260331","6334488.35","CNY","CNY","ev_structured_financial_data_002837_20260701_89213a","data/raw/market_data/local_tushare_fixture_income_002837_2026-07-01_89213a96.csv","raw_adapter_snapshot_no_recalculation","metric_snapshot","medium","reviewed_r3_candidate","Metric-only company-level structured fixture; not segment exposure proof."
"metric_cn_002837_invic_n_income_attr_p_20260331_530e7b","cn_002837_invic","002837","n_income_attr_p","20260331","8657602.27","CNY","CNY","ev_structured_financial_data_002837_20260701_89213a","data/raw/market_data/local_tushare_fixture_income_002837_2026-07-01_89213a96.csv","raw_adapter_snapshot_no_recalculation","metric_snapshot","medium","reviewed_r3_candidate","Metric-only company-level structured fixture; not segment exposure proof."
"metric_cn_002837_invic_basic_eps_20260331_16e329","cn_002837_invic","002837","basic_eps","20260331","0.01","CNY","CNY","ev_structured_financial_data_002837_20260701_89213a","data/raw/market_data/local_tushare_fixture_income_002837_2026-07-01_89213a96.csv","raw_adapter_snapshot_no_recalculation","metric_snapshot","medium","reviewed_r3_candidate","Metric-only company-level structured fixture; not segment exposure proof."
"metric_cn_002837_invic_diluted_eps_20260331_e2e70f","cn_002837_invic","002837","diluted_eps","20260331","0.01","CNY","CNY","ev_structured_financial_data_002837_20260701_89213a","data/raw/market_data/local_tushare_fixture_income_002837_2026-07-01_89213a96.csv","raw_adapter_snapshot_no_recalculation","metric_snapshot","medium","reviewed_r3_candidate","Metric-only company-level structured fixture; not segment exposure proof."
"metric_cn_002837_invic_n_cashflow_act_20260331_c16d8a","cn_002837_invic","002837","n_cashflow_act","20260331","-386363968.71","CNY","CNY","ev_structured_financial_data_002837_20260701_418339","data/raw/market_data/local_tushare_fixture_cashflow_002837_2026-07-01_41833915.csv","raw_adapter_snapshot_no_recalculation","metric_snapshot","medium","reviewed_r3_candidate","Metric-only company-level structured fixture; not segment exposure proof."
"metric_cn_002837_invic_total_assets_20260331_1349a0","cn_002837_invic","002837","total_assets","20260331","7761763222.65","CNY","CNY","ev_structured_financial_data_002837_20260701_bad80e","data/raw/market_data/local_tushare_fixture_balancesheet_002837_2026-07-01_bad80e49.csv","raw_adapter_snapshot_no_recalculation","metric_snapshot","medium","reviewed_r3_candidate","Metric-only company-level structured fixture; not segment exposure proof."
"metric_cn_002837_invic_total_liab_20260331_40bc89","cn_002837_invic","002837","total_liab","20260331","4277389028.88","CNY","CNY","ev_structured_financial_data_002837_20260701_bad80e","data/raw/market_data/local_tushare_fixture_balancesheet_002837_2026-07-01_bad80e49.csv","raw_adapter_snapshot_no_recalculation","metric_snapshot","medium","reviewed_r3_candidate","Metric-only company-level structured fixture; not segment exposure proof."
"metric_cn_002837_invic_revenue_20251231_9c5aaf","cn_002837_invic","002837","revenue","20251231","6067759091.55","CNY","CNY","ev_structured_financial_data_002837_20260701_89213a","data/raw/market_data/local_tushare_fixture_income_002837_2026-07-01_89213a96.csv","raw_adapter_snapshot_no_recalculation","metric_snapshot","medium","reviewed_r3_candidate","Metric-only company-level structured fixture; not segment exposure proof."
"metric_cn_002837_invic_net_profit_20251231_c253e4","cn_002837_invic","002837","net_profit","20251231","542679980.86","CNY","CNY","ev_structured_financial_data_002837_20260701_418339","data/raw/market_data/local_tushare_fixture_cashflow_002837_2026-07-01_41833915.csv","raw_adapter_snapshot_no_recalculation","metric_snapshot","medium","reviewed_r3_candidate","Metric-only company-level structured fixture; not segment exposure proof."
"metric_cn_002837_invic_n_income_attr_p_20251231_002a58","cn_002837_invic","002837","n_income_attr_p","20251231","521914773.0","CNY","CNY","ev_structured_financial_data_002837_20260701_89213a","data/raw/market_data/local_tushare_fixture_income_002837_2026-07-01_89213a96.csv","raw_adapter_snapshot_no_recalculation","metric_snapshot","medium","reviewed_r3_candidate","Metric-only company-level structured fixture; not segment exposure proof."
"metric_cn_002837_invic_basic_eps_20251231_03d56b","cn_002837_invic","002837","basic_eps","20251231","0.54","CNY","CNY","ev_structured_financial_data_002837_20260701_89213a","data/raw/market_data/local_tushare_fixture_income_002837_2026-07-01_89213a96.csv","raw_adapter_snapshot_no_recalculation","metric_snapshot","medium","reviewed_r3_candidate","Metric-only company-level structured fixture; not segment exposure proof."
"metric_cn_002837_invic_n_cashflow_act_20251231_890163","cn_002837_invic","002837","n_cashflow_act","20251231","157273222.36","CNY","CNY","ev_structured_financial_data_002837_20260701_418339","data/raw/market_data/local_tushare_fixture_cashflow_002837_2026-07-01_41833915.csv","raw_adapter_snapshot_no_recalculation","metric_snapshot","medium","reviewed_r3_candidate","Metric-only company-level structured fixture; not segment exposure proof."
